Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,spotify_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo_x,time_signature,track_genre,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_stft,tempo_y,beat_strength,harmonic_to_percussive_ratio,speech_to_music_ratio,tempogram,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,Spotify_Composite,YouTube_Composite,TikTok_Composite,Apple Music_Composite,SiriusXM_Composite,Deezer_Composite,Amazon_Composite,Pandora_Composite,Shazam_Composite,Spotify_Hit,YouTube_Hit,TikTok_Hit,Apple Music_Hit,SiriusXM_Hit,Deezer_Hit,Amazon_Hit,Pandora_Hit,Shazam_Hit
2017-02-03,USUM71615568,1725,35.1,847578246,122390,28205829,817730890,8045419,735926,173724076,1343189392,254053114,20.0,452,0.0,6.0,25805,0.0,133204015,120281,2901322,5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,82,198853,False,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,4,acoustic,1922.763804993733,2595.803702133972,3927.771624682136,0.035938338117848,0.49520382,119.68085106,0.83180785,0.500226712856026,0.19239932,0.2111906063321576,-207.1512,150.05368,19.931984,36.2198,-1.7779186,17.912802,-6.1726756,6.934527,4.532902,1.2412392,-3.8593137,-2.944099,2.055591,0.7344520051875785,0.8990275576235935,0.7939195412376934,0.4382566977551276,0.0,0.45370985063472585,0.0,0.850904193308066,0.8629542213686183,False,False,False,False,False,False,False,False,False
2013-11-04,USSM11306713,3714,22.2,1064534331,116991,57390894,113298251,1108651,79873,38617874,339277915,2455495,102.0,943,120.0,71.0,421702,22.0,653380699,354730,12937536,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,1572.5640372224243,2191.8916450002253,2833.952894682463,0.0355434982650847,0.3763566,130.81395349,0.7034963,-0.1921073692565325,0.11990998,0.2307997169006814,-269.5139,169.9361,6.197433,27.559317,-3.2464786,9.33726,-4.6978345,1.4056704,0.9433057,-4.637436,-2.3667285,-0.12956569,-2.9008737,0.7687954374480084,0.7301034680899259,0.7093285024430348,0.5797846916952281,0.5411079959202659,0.730810821187422,0.597575725365044,0.9262181869843702,0.9496496899013657,False,False,False,False,False,False,False,True,True
2008-01-01,USEE10800667,2136,31.1,1878098512,241725,103480270,359866287,1614148,117533,21898820,175364993,1243907,230.0,1643,257.0,404.0,1238731,84.0,1463624043,938632,12571538,3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,2415.444766118784,3123.7427448856693,5083.999481293995,0.04131380457276,0.41405523,152.02702703,1.1439974,-0.8939625727909747,0.18200092,0.1587140002095376,-177.8131,137.58408,-2.0441875,41.178772,-3.8050878,16.617666,-8.970787,4.8630238,0.7220714,-1.242852,-1.1173193,-0.42776018,0.55836755,0.8677452939006659,0.7254328307428414,0.7024436568048702,0.6581271186043886,0.6265392126397143,0.9079509072280946,0.8466992328207549,0.9789361342002578,0.9479854771711539,True,False,False,False,True,True,True,True,True
2021-12-06,PHUM72100441,4173,20.7,261275106,28281,15565070,212525130,1350970,384326,66481618,582712801,563870,13.0,1660,0.0,0.0,0,0.0,53001,244,237547,08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Pano,75,254400,False,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,3,acoustic,1455.1881068675505,2309.8450237128795,2591.617334768443,0.0255962629571988,0.3633591,58.59375,0.9312411,-3.584076222494293,0.2548066,0.1680883236708008,-191.53165,165.00453,12.352328,24.4223,-6.395463,12.412212,-9.230273,1.2088553,1.8912777,-5.3783083,-7.8841386,4.398078,-1.1381819,0.5497267367019938,0.6969570038540256,0.7571568150444212,0.4549674923518644,0.0,0.0,0.0,0.45029753835392755,0.7178272147732673,False,False,False,False,False,False,False,False,False
2015-10-30,USSM11506747,2627,27.5,1435372572,239555,84147867,450121249,5511534,252108,196480803,1122697302,8013039,47.0,81,0.0,24.0,84882,3.0,32313966,41491,3422693,5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Wiped Out!,Daddy Issues,87,260173,False,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4,alt-rock,1255.9310728859164,2004.69123370974,2433.896401656701,0.0183416067851062,0.59999317,85.22727273,1.0504265,-1.1940393583557545,0.27853018,0.207816810481182,-189.9023,172.09836,4.459617,29.284239,7.943571,9.859941,0.7655575,6.025431,7.282867,8.27139,11.101128,3.214744,7.6114697,0.8479039388819182,0.7936777768583766,0.7701115841176331,0.4375677589113548,0.0,0.5955288915288691,0.26420583211639004,0.780368261596818,0.8725379773823745,True,False,False,False,False,False,False,False,False
2017-10-17,USSM11707035,2415,29.0,641453269,197169,31052903,409991163,5836318,345093,300840293,2500579993,5575104,55.0,3168,15.0,27.0,137399,0.0,3927900,13924,5504564,2Y0iGXY6m6immVb2ktbseM,MGMT,Little Dark Age,Little Dark Age,83,299960,False,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4,alt-rock,2262.694667800808,2882.4570801018845,4615.381091873356,0.0429859965198813,0.51652217,96.98275862,1.1652056,-0.7924646505039,0.23795448,0.1613530910579524,-131.81023,158.44919,-19.996485,41.633358,-1.5297576,14.20584,-0.8693552,4.9288273,3.107017,4.6470165,-0.31074086,7.840864,-0.9060804,0.7398434933185877,0.7835273774898966,0.7920241509555153,0.5785573697541451,0.3128305777198241,0.6188273585325257,0.0,0.6922412838929862,0.900092671574796,False,False,False,False,False,False,False,False,False
2018-03-09,USSM11800523,3234,24.2,915401494,155329,39721831,223385717,2683841,188807,155773701,1120661792,94156143,31.0,1149,183.0,26.0,201960,14.0,4988511,7679,4588227,2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,86,206280,False,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4,alt-rock,2285.3092923448785,3051.1861894266167,4864.769524704209,0.0358545668194282,0.49320215,93.75,1.0191145,-1.166079662993576,0.27867484,0.229844762499487,-120.60604,160.44539,-16.372362,32.835434,-14.12983,23.521965,-2.755431,11.920564,-2.5671382,5.6293383,1.2286386,4.149951,3.7032163,0.7662354019451757,0.8474787713891004,0.7606911636117708,0.5019262565840795,0.5884000583060512,0.6266864893305168,0.5161116404002236,0.6776470410035096,0.8895333383406577,False,False,False,False,False,False,False,False,False
2012-01-01,USSM11300080,809,53.9,2916412507,415650,149359220,1648485745,18338729,1248637,324536571,2911383718,71486828,189.0,61334,39.0,114.0,604895,9.0,384534750,719472,0,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,93,240400,False,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,alt-rock,2035.555285533864,2488.2776702811657,3967.210343161216,0.0434251575761531,0.45121485,125.0,1.0597738,-0.6965100885053236,0.23236585,0.1920862075595955,-139.20883,175.18666,-26.604027,24.990746,1.8218608,13.422813,-7.642915,1.8502719,1.1172436,3.0575888,3.5831416,0.37431166,2.9425783,0.9517728929212038,0.8796313628056797,0.8228470586073378,0.7724882536121652,0.41621546012674404,0.7807850107491806,0.43883638827026494,0.9376321254849942,0.0,True,False,True,False,False,True,False,True,False
2015-08-07,USAT21502122,1879,33.5,1086861259,228925,44949918,836662907,8009540,1629364,344124487,4201171109,180196685,25.0,105889,97.0,117.0,717998,25.0,0,0,0,0y1QJc3SJVPKJ1OvFmFqe6,KALEO,A/B,Way down We Go,78,213706,False,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,4,alt-rock,1427.1391581800224,1988.075882987548,2833.973691853429,0.0268332279514981,0.4482616,81.52173913,0.9242791,1.8503434770264453,0.24294983,0.2296632128678855,-194.28157,171.06784,-8.011325,33.252464,5.201023,8.449595,-3.349458,-2.7008173,12.570515,-7.359285,1.1566844,0.8783154,0.2239337,0.796533760123768,0.8896437857209007,0.8337279560522153,0.6474858852566615,0.517320875495892,0.7878400482779819,0.6209417935221986,0.0,0.0,False,False,True,False,False,True,False,False,False
1991-09-24,USGF19942501,4510,19.6,2021910364,410054,113406994,348081676,4710499,264172,95247745,720283921,837901,287.0,146813,287.0,256.0,3993523,97.0,691979509,317966,12775440,4CeeEOM32jQcH3eN9Q2dGj,Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,83,301920,False,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4,alt-rock,3170.0981503976054,3197.8160200306056,6300.920758928572,0.0760182663967279,0.5563102,117.1875,1.0384297,-1.3312057001472617,0.24000758,0.2340766591670506,-79.86658,139.64313,-59.203274,55.082745,-3.4347148,33.460594,-9.608448,17.286251,-5.366031,6.642106,6.816515,1.4407624,5.5239544,0.9072404890235503,0.727051531781059,0.7562674283018838,0.8336859187778206,0.6389505895322083,0.9026289041536345,0.8738224592864677,0.9238588289327414,0.9489185159269845,True,False,False,True,True,True,True,True,True
